State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals Tonnes,Min Price Rs_per_Quintal,Max Price Rs_per_Quintal,Modal Price Rs_per_Quintal,Reported Date
Gujarat,Ahmedabad,Drumstick,Ahmedabad,Other,Vegetables,2.5,3500,4000,3800,1/19/2019 0:00
Gujarat,Bharuch,Drumstick,Ankleshwar,Drumstick,Vegetables,0.19,3750,4875,4650,1/19/2019 0:00
Gujarat,Dahod,Drumstick,Dahod(Veg. Market),Other,Vegetables,0.13,3000,4000,3700,1/19/2019 0:00
Gujarat,Vadodara(Baroda),Drumstick,Padra,Other,Vegetables,0.6,2000,3000,2500,1/19/2019 0:00
Gujarat,Surat,Drumstick,Surat,Other,Vegetables,6.5,2750,4250,3500,1/19/2019 0:00
Gujarat,Surendranagar,Drumstick,Vadhvan,Drumstick,Vegetables,0.9,2750,3000,2875,1/19/2019 0:00
Gujarat,Vadodara(Baroda),Drumstick,Vadodara(Sayajipura),Other,Vegetables,0.7,2500,3000,2800,1/19/2019 0:00
Karnataka,Bangalore,Drumstick,"Binny Mill (F&V), Bangalore",Drumstick,Vegetables,16,10000,12000,11000,1/19/2019 0:00
Kerala,Ernakulam,Drumstick,Aluva,Drumstick,Vegetables,0.5,11000,14000,12500,1/19/2019 0:00
Kerala,Thiruvananthapuram,Drumstick,Aralamoodu,Drumstick,Vegetables,0.8,12000,16000,16000,1/19/2019 0:00
Kerala,Thiruvananthapuram,Drumstick,Chala,Other,Vegetables,3,13700,13756,13728,1/19/2019 0:00
Kerala,Thirssur,Drumstick,Chelakkara,Other,Vegetables,0.18,2800,3000,2900,1/19/2019 0:00
Kerala,Ernakulam,Drumstick,Ernakulam,Drumstick,Vegetables,0.35,9200,9500,9500,1/19/2019 0:00
Kerala,Kottayam,Drumstick,Ettumanoor,Drumstick,Vegetables,0.6,9000,9500,9200,1/19/2019 0:00
Kerala,Alappuzha,Drumstick,Harippad,Other,Vegetables,0.5,3500,4000,4000,1/19/2019 0:00
Kerala,Kozhikode(Calicut),Drumstick,Kallachi,Drumstick,Vegetables,0.4,9800,10200,10000,1/19/2019 0:00
Kerala,Kasargod,Drumstick,Kanjangadu,Drumstick,Vegetables,0.45,10000,11000,10500,1/19/2019 0:00
Kerala,Kottayam,Drumstick,Kanjirappally,Drumstick,Vegetables,1,9000,10000,9800,1/19/2019 0:00
Kerala,Alappuzha,Drumstick,Kayamkulam,Other,Vegetables,1,9700,9900,9800,1/19/2019 0:00
Kerala,Malappuram,Drumstick,Kondotty,Other,Vegetables,0.25,8000,8200,8100,1/19/2019 0:00
Kerala,Ernakulam,Drumstick,Kothamangalam,Other,Vegetables,1,10000,11000,10500,1/19/2019 0:00
Kerala,Malappuram,Drumstick,Kottakkal,Other,Vegetables,0.9,10100,10200,10150,1/19/2019 0:00
Kerala,Alappuzha,Drumstick,Madhavapuram,Other,Vegetables,2.5,10000,12500,12000,1/19/2019 0:00
Kerala,Malappuram,Drumstick,Manjeri,Other,Vegetables,5,9900,10000,9950,1/19/2019 0:00
Kerala,Kasargod,Drumstick,Manjeswaram,Drumstick,Vegetables,1,7000,8000,7500,1/19/2019 0:00
Kerala,Ernakulam,Drumstick,Moovattupuzha,Drumstick,Vegetables,0.65,10400,10900,10650,1/19/2019 0:00
Kerala,Kozhikode(Calicut),Drumstick,Mukkom,Drumstick,Vegetables,0.5,4800,5200,5000,1/19/2019 0:00
Kerala,Kasargod,Drumstick,Neeleswaram,Other,Vegetables,0.3,12500,13500,13000,1/19/2019 0:00
Kerala,Thiruvananthapuram,Drumstick,Neyyatinkara,Drumstick,Vegetables,0.2,7300,7500,7400,1/19/2019 0:00
Kerala,Palakad,Drumstick,Palakkad,Drumstick,Vegetables,0.25,10000,11000,10600,1/19/2019 0:00
Kerala,Kozhikode(Calicut),Drumstick,Palayam,Other,Vegetables,5,9900,10100,10000,1/19/2019 0:00
Kerala,Kottayam,Drumstick,Pampady,Other,Vegetables,1,11000,11400,11200,1/19/2019 0:00
Kerala,Malappuram,Drumstick,Parappanangadi,Other,Vegetables,0.3,4000,4250,4150,1/19/2019 0:00
Kerala,Palakad,Drumstick,Pattambi,Other,Vegetables,0.2,11000,13000,12000,1/19/2019 0:00
Kerala,Malappuram,Drumstick,Perinthalmanna,Drumstick,Vegetables,2.1,4800,5200,5000,1/19/2019 0:00
Kerala,Kozhikode(Calicut),Drumstick,Quilandy,Other,Vegetables,0.3,10500,11000,10800,1/19/2019 0:00
Kerala,Kottayam,Drumstick,Thalayolaparambu,Drumstick,Vegetables,0.2,10000,10600,10300,1/19/2019 0:00
