State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals Tonnes,Min Price Rs_per_Quintal,Max Price Rs_per_Quintal,Modal Price Rs_per_Quintal,Reported Date
Andhra Pradesh,Kurnool,Dry Chillies,Kurnool,Local,Spices,10.6,3000.0,8001.0,6050.0,2019-01-19
Andhra Pradesh,West Godavari,Galgal(Lemon),Bhimadole,Galgal(Lemon),Vegetables,1.0,2500.0,2600.0,2550.0,2019-01-19
Andhra Pradesh,Chittor,Green Chilli,Palamaner,Green Chilly,Vegetables,0.54,1800.0,2800.0,2300.0,2019-01-19
Andhra Pradesh,Kurnool,Groundnut,Adoni,Balli/Habbu,Oil Seeds,49.5,2812.0,4930.0,4426.0,2019-01-19
Andhra Pradesh,Kurnool,Groundnut,Kurnool,Local,Oil Seeds,32.4,2849.0,5062.0,4088.0,2019-01-19
Andhra Pradesh,Visakhapatnam,Gur(Jaggery),Anakapally,NO 1,Other,122.9,2640.0,3000.0,2820.0,2019-01-19
Andhra Pradesh,Visakhapatnam,Gur(Jaggery),Anakapally,NO 2,Other,122.9,2560.0,2780.0,2670.0,2019-01-19
Andhra Pradesh,Visakhapatnam,Gur(Jaggery),Anakapally,NO 3,Other,122.9,2400.0,2600.0,2500.0,2019-01-19
Andhra Pradesh,Kurnool,Jowar(Sorghum),Alur,Jowar ( White),Cereals,0.01,2450.0,2450.0,2450.0,2019-01-19
Andhra Pradesh,Kurnool,Jowar(Sorghum),Banaganapalli,Jowar ( White),Cereals,1.0,1800.0,1900.0,1850.0,2019-01-19
Andhra Pradesh,Kurnool,Jowar(Sorghum),Nandyal,Jowar (Yellow),Cereals,1.0,2450.0,2500.0,2450.0,2019-01-19
Andhra Pradesh,Guntur,Lemon,Tenali,Lemon,Vegetables,34.2,2000.0,3000.0,2600.0,2019-01-19
Andhra Pradesh,West Godavari,Lime,Denduluru,Lime,Fruits,5.21,1300.0,2500.0,1900.0,2019-01-19
Andhra Pradesh,Kurnool,Maize,Alur,Local,Cereals,0.01,1700.0,1700.0,1700.0,2019-01-19
