State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals Tonnes,Min Price Rs_per_Quintal,Max Price Rs_per_Quintal,Modal Price Rs_per_Quintal,Reported Date
Uttar Pradesh,Bijnor,Pomegranate,Najibabad,Pomogranate,Fruits,3.0,3400.0,3600.0,3500.0,2019-01-19
Uttar Pradesh,Lakhimpur,Pomegranate,Paliakala,Pomogranate,Fruits,1.2,4570.0,4635.0,4600.0,2019-01-19
Uttar Pradesh,Maharajganj,Pomegranate,Partaval,Pomogranate,Fruits,0.5,4850.0,5000.0,4900.0,2019-01-19
Uttar Pradesh,Pratapgarh,Pomegranate,Pratapgarh,Pomogranate,Fruits,1.0,4465.0,4550.0,4500.0,2019-01-19
Uttar Pradesh,Kanpur,Pomegranate,Pukhrayan,Pomogranate,Fruits,30.0,5065.0,5265.0,5165.0,2019-01-19
Uttar Pradesh,Pillibhit,Pomegranate,Puranpur,Pomogranate,Fruits,2.2,3850.0,3950.0,3900.0,2019-01-19
Uttar Pradesh,Rampur,Pomegranate,Rampur,Pomogranate,Fruits,25.0,4050.0,4150.0,4100.0,2019-01-19
Uttar Pradesh,Hardoi,Pomegranate,Shahabad(New Mandi),Pomogranate,Fruits,2.8,6230.0,6300.0,6270.0,2019-01-19
Uttar Pradesh,Jaunpur,Pomegranate,Shahganj,Pomogranate,Fruits,1.5,3950.0,4100.0,4010.0,2019-01-19
Uttar Pradesh,Firozabad,Pomegranate,Shikohabad,Pomogranate,Fruits,1.0,3850.0,3920.0,3900.0,2019-01-19
Uttar Pradesh,Firozabad,Pomegranate,Sirsaganj,Pomogranate,Fruits,1.1,4300.0,4500.0,4400.0,2019-01-19
Uttar Pradesh,Unnao,Pomegranate,Unnao,Pomogranate,Fruits,0.5,4150.0,4250.0,4200.0,2019-01-19
Uttar Pradesh,Varanasi,Pomegranate,Varanasi(F&V),Pomogranate,Fruits,55.0,4175.0,4225.0,4200.0,2019-01-19
Uttar Pradesh,Rampur,Pomegranate,Vilaspur,Pomogranate,Fruits,0.69,4100.0,4140.0,4120.0,2019-01-19
Uttrakhand,Dehradoon,Pomegranate,Dehradoon,Other,Fruits,21.5,2500.0,4200.0,3000.0,2019-01-19
Uttrakhand,UdhamSinghNagar,Pomegranate,Kashipur,Other,Fruits,0.2,5400.0,5600.0,5500.0,2019-01-19
Uttrakhand,UdhamSinghNagar,Pomegranate,Khateema,Other,Fruits,10.0,3100.0,3300.0,3200.0,2019-01-19
Uttrakhand,UdhamSinghNagar,Pomegranate,Kicchha,Pomogranate,Fruits,1.1,4000.0,5000.0,4800.0,2019-01-19
Uttrakhand,Garhwal (Pauri),Pomegranate,Kotadwara,Other,Fruits,0.5,3000.0,4000.0,3600.0,2019-01-19
Uttrakhand,Garhwal (Pauri),Pomegranate,Kotadwara,Other,Fruits,0.5,3000.0,4000.0,3600.0,2019-01-19
Uttrakhand,Garhwal (Pauri),Pomegranate,Kotadwara,Other,Fruits,0.5,3000.0,4000.0,3600.0,2019-01-19
Uttrakhand,Dehradoon,Pomegranate,Rishikesh,Other,Fruits,2.6,3260.0,3550.0,3380.0,2019-01-19
Uttrakhand,Haridwar,Pomegranate,Roorkee,Other,Fruits,1.0,2500.0,3500.0,2800.0,2019-01-19
West Bengal,Kolkata,Pomegranate,Mechua,Other,Fruits,114.0,6000.0,7000.0,6600.0,2019-01-19
West Bengal,Kolkata,Pomegranate,Mechua,Other,Fruits,114.0,5000.0,6700.0,6000.0,2019-01-19
West Bengal,Kolkata,Pomegranate,Mechua,Other,Fruits,114.0,4000.0,6000.0,5000.0,2019-01-19
Kerala,Alappuzha,Pumpkin,Madhavapuram,Other,Vegetables,2.0,1400.0,1600.0,1500.0,2019-01-19
Assam,Kamrup,Pumpkin,Pamohi(Garchuk),Pumpkin,Vegetables,75.0,800.0,1000.0,900.0,2019-01-19
Chandigarh,Chandigarh,Pumpkin,Chandigarh(Grain/Fruit),Other,Vegetables,4.08,800.0,1000.0,900.0,2019-01-19
Gujarat,Ahmedabad,Pumpkin,Ahmedabad,Other,Vegetables,6.2,700.0,1000.0,900.0,2019-01-19
Gujarat,Rajkot,Pumpkin,Gondal(Veg.market Gondal),Pumpkin,Vegetables,2.35,500.0,1000.0,750.0,2019-01-19
Gujarat,Vadodara(Baroda),Pumpkin,Padra,Other,Vegetables,0.8,500.0,850.0,700.0,2019-01-19
Gujarat,Surat,Pumpkin,Surat,Other,Vegetables,5.0,900.0,1200.0,1050.0,2019-01-19
Gujarat,Vadodara(Baroda),Pumpkin,Vadodara(Sayajipura),Other,Vegetables,3.3,400.0,700.0,600.0,2019-01-19
Haryana,Karnal,Pumpkin,Asandh,Other,Vegetables,0.6,400.0,800.0,650.0,2019-01-19
Haryana,Faridabad,Pumpkin,Ballabhgarh,Other,Vegetables,0.5,800.0,1100.0,1000.0,2019-01-19
Haryana,Ambala,Pumpkin,Barara,Other,Vegetables,0.5,1000.0,1200.0,1000.0,2019-01-19
Haryana,Yamuna Nagar,Pumpkin,Jagadhri,Other,Vegetables,0.4,500.0,800.0,800.0,2019-01-19
Haryana,Rohtak,Pumpkin,Meham,Pumpkin,Vegetables,0.3,1000.0,1000.0,1000.0,2019-01-19
Haryana,Ambala,Pumpkin,Naraingarh,Pumpkin,Vegetables,0.14,900.0,1000.0,920.0,2019-01-19
Haryana,Gurgaon,Pumpkin,Pataudi,Other,Vegetables,2.0,1000.0,1000.0,1000.0,2019-01-19
Haryana,Kurukshetra,Pumpkin,Shahabad,Pumpkin,Vegetables,0.3,1000.0,1200.0,1100.0,2019-01-19
Haryana,Yamuna Nagar,Pumpkin,Yamuna Nagar,Other,Vegetables,1.2,1000.0,1200.0,1100.0,2019-01-19
Himachal Pradesh,Mandi,Pumpkin,Dhanotu (Mandi),Other,Vegetables,2.4,1000.0,1200.0,1100.0,2019-01-19
Himachal Pradesh,Kangra,Pumpkin,Kangra,Other,Vegetables,0.2,1800.0,2000.0,1900.0,2019-01-19
Himachal Pradesh,Kullu,Pumpkin,Kullu,Other,Vegetables,0.1,1500.0,1800.0,1700.0,2019-01-19
Himachal Pradesh,Solan,Pumpkin,Solan,Other,Vegetables,0.1,1200.0,1500.0,1400.0,2019-01-19
Himachal Pradesh,Solan,Pumpkin,Solan(Nalagarh),Other,Vegetables,0.9,1200.0,1500.0,1400.0,2019-01-19
Jammu and Kashmir,Jammu,Pumpkin,Akhnoor,Other,Vegetables,1.0,600.0,700.0,650.0,2019-01-19
Jammu and Kashmir,Kathua,Pumpkin,Kathua,Other,Vegetables,0.5,1000.0,1200.0,1100.0,2019-01-19
Kerala,Alappuzha,Pumpkin,Alappuzha,Other,Vegetables,0.5,1150.0,1225.0,1200.0,2019-01-19
Kerala,Ernakulam,Pumpkin,Aluva,Pumpkin,Vegetables,3.0,900.0,1600.0,1300.0,2019-01-19
Kerala,Thiruvananthapuram,Pumpkin,Aralamoodu,Pumpkin,Vegetables,1.0,1500.0,1500.0,1500.0,2019-01-19
Kerala,Thiruvananthapuram,Pumpkin,Chala,Other,Vegetables,3.0,1800.0,1856.0,1823.0,2019-01-19
Kerala,Thirssur,Pumpkin,Chelakkara,Other,Vegetables,0.25,1600.0,1800.0,1700.0,2019-01-19
Kerala,Alappuzha,Pumpkin,Cherthala,Other,Vegetables,0.6,1500.0,1600.0,1550.0,2019-01-19
