State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals Tonnes,Min Price Rs_per_Quintal,Max Price Rs_per_Quintal,Modal Price Rs_per_Quintal,Reported Date
Kerala,Ernakulam,Drumstick,Aluva,Drumstick,Vegetables,0.5,11000.0,14000.0,12500.0,2019-01-19
Kerala,Thiruvananthapuram,Drumstick,Aralamoodu,Drumstick,Vegetables,0.8,12000.0,16000.0,16000.0,2019-01-19
Kerala,Thiruvananthapuram,Drumstick,Chala,Other,Vegetables,3.0,13700.0,13756.0,13728.0,2019-01-19
Kerala,Thirssur,Drumstick,Chelakkara,Other,Vegetables,0.18,2800.0,3000.0,2900.0,2019-01-19
Kerala,Ernakulam,Drumstick,Ernakulam,Drumstick,Vegetables,0.35,9200.0,9500.0,9500.0,2019-01-19
Kerala,Kottayam,Drumstick,Ettumanoor,Drumstick,Vegetables,0.6,9000.0,9500.0,9200.0,2019-01-19
Kerala,Alappuzha,Drumstick,Harippad,Other,Vegetables,0.5,3500.0,4000.0,4000.0,2019-01-19
Kerala,Kozhikode(Calicut),Drumstick,Kallachi,Drumstick,Vegetables,0.4,9800.0,10200.0,10000.0,2019-01-19
Kerala,Kasargod,Drumstick,Kanjangadu,Drumstick,Vegetables,0.45,10000.0,11000.0,10500.0,2019-01-19
Kerala,Kottayam,Drumstick,Kanjirappally,Drumstick,Vegetables,1.0,9000.0,10000.0,9800.0,2019-01-19
Kerala,Alappuzha,Drumstick,Kayamkulam,Other,Vegetables,1.0,9700.0,9900.0,9800.0,2019-01-19
Kerala,Malappuram,Drumstick,Kondotty,Other,Vegetables,0.25,8000.0,8200.0,8100.0,2019-01-19
Kerala,Ernakulam,Drumstick,Kothamangalam,Other,Vegetables,1.0,10000.0,11000.0,10500.0,2019-01-19
Kerala,Malappuram,Drumstick,Kottakkal,Other,Vegetables,0.9,10100.0,10200.0,10150.0,2019-01-19
Kerala,Alappuzha,Drumstick,Madhavapuram,Other,Vegetables,2.5,10000.0,12500.0,12000.0,2019-01-19
Kerala,Malappuram,Drumstick,Manjeri,Other,Vegetables,5.0,9900.0,10000.0,9950.0,2019-01-19
Kerala,Kasargod,Drumstick,Manjeswaram,Drumstick,Vegetables,1.0,7000.0,8000.0,7500.0,2019-01-19
Kerala,Ernakulam,Drumstick,Moovattupuzha,Drumstick,Vegetables,0.65,10400.0,10900.0,10650.0,2019-01-19
Kerala,Kozhikode(Calicut),Drumstick,Mukkom,Drumstick,Vegetables,0.5,4800.0,5200.0,5000.0,2019-01-19
Kerala,Kasargod,Drumstick,Neeleswaram,Other,Vegetables,0.3,12500.0,13500.0,13000.0,2019-01-19
Kerala,Thiruvananthapuram,Drumstick,Neyyatinkara,Drumstick,Vegetables,0.2,7300.0,7500.0,7400.0,2019-01-19
Kerala,Palakad,Drumstick,Palakkad,Drumstick,Vegetables,0.25,10000.0,11000.0,10600.0,2019-01-19
Kerala,Kozhikode(Calicut),Drumstick,Palayam,Other,Vegetables,5.0,9900.0,10100.0,10000.0,2019-01-19
Kerala,Kottayam,Drumstick,Pampady,Other,Vegetables,1.0,11000.0,11400.0,11200.0,2019-01-19
Kerala,Malappuram,Drumstick,Parappanangadi,Other,Vegetables,0.3,4000.0,4250.0,4150.0,2019-01-19
Kerala,Palakad,Drumstick,Pattambi,Other,Vegetables,0.2,11000.0,13000.0,12000.0,2019-01-19
Kerala,Malappuram,Drumstick,Perinthalmanna,Drumstick,Vegetables,2.1,4800.0,5200.0,5000.0,2019-01-19
Kerala,Kozhikode(Calicut),Drumstick,Quilandy,Other,Vegetables,0.3,10500.0,11000.0,10800.0,2019-01-19
Kerala,Kottayam,Drumstick,Thalayolaparambu,Drumstick,Vegetables,0.2,10000.0,10600.0,10300.0,2019-01-19
Kerala,Kozhikode(Calicut),Drumstick,Thamarassery,Other,Vegetables,0.03,10500.0,13000.0,11500.0,2019-01-19
