State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals Tonnes,Min Price Rs_per_Quintal,Max Price Rs_per_Quintal,Modal Price Rs_per_Quintal,Reported Date
Meghalaya,East Khasi Hills,Ginger(Dry),Shillong,Dry,Spices,2.0,5000.0,6000.0,5800.0,2019-01-19
Meghalaya,East Khasi Hills,Orange,Shillong,Orange,Fruits,7.0,3500.0,4500.0,4000.0,2019-01-19
Meghalaya,East Khasi Hills,Orange,Sohra,Other,Fruits,1.35,10000.0,18000.0,14000.0,2019-01-19
Meghalaya,East Khasi Hills,Pumpkin,Shillong,Pumpkin,Vegetables,2.0,1600.0,2000.0,1850.0,2019-01-19
Meghalaya,East Khasi Hills,Pumpkin,Sohra,Other,Vegetables,0.3,2000.0,4000.0,3000.0,2019-01-19
Meghalaya,East Khasi Hills,Raddish,Shillong,Raddish,Vegetables,1.5,1400.0,1600.0,1500.0,2019-01-19
Meghalaya,East Khasi Hills,Arecanut(Betelnut/Supari),Shillong,New Variety,Drug and Narcotics,28.0,8000.0,17000.0,12500.0,2019-01-19
Meghalaya,East Khasi Hills,Arecanut(Betelnut/Supari),Sohra,Other,Drug and Narcotics,5.5,16000.0,38000.0,27000.0,2019-01-19
Meghalaya,East Khasi Hills,Banana,Shillong,Champa,Fruits,2.0,3000.0,4500.0,4000.0,2019-01-19
Meghalaya,East Khasi Hills,Banana,Sohra,Other,Fruits,0.52,9000.0,11000.0,10000.0,2019-01-19
Meghalaya,East Khasi Hills,Beans,Sohra,Local,Pulses,0.11,7000.0,9000.0,8000.0,2019-01-19
Meghalaya,East Khasi Hills,Beetroot,Sohra,Other,Vegetables,0.08,7000.0,9000.0,8000.0,2019-01-19
